Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Amellifera,2006-2007,Spain,La Rioja,Korea,42.28707,-2.5396,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Ourense,Korea,42.33578,-7.86388,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Burgos,Korea,42.34399,-3.6969,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Pontevedra,Korea,42.42988,-8.64462,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,León,Korea,42.59872,-5.56709,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Navarre,Korea,42.69539,-1.67606,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2000-2001,China,"Fengman, Lishu Co., Changchun, Jilin  Prov.",Korea,42.89776,128.14283,Year: 2000-2001 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2006-2007,Spain,Álava,Korea,42.90999,-2.69838,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Lugo,Korea,43.00973,-7.55675,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,1998?,United States,Wisconsin,Korea,43.081124,-89.533452,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,1994-1996,United States,"Wisconsin, Madison",Korea,43.081124,-89.533452,Year: 1994-1996 Ref: de Guzman et al. (1997)
Vdestructor,Amellifera,1995,Russia,Primorsky territory,Korea,43.1198,131.88692,"Year: 1995 Ref: de Guzman et al. (1997), Anderson and Trueman (2000), Navajas et al. (2010)"
Vdestructor,Amellifera,2006-2007,Spain,Cantabria,Korea,43.18283,-3.98784,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Asturias,Korea,43.36139,-5.85932,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,A Coruña,Korea,43.36234,-8.41154,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,1994-1996,United States,"Iowa, Cresco",Korea,43.369671,-92.126708,Year: 1994-1996 Ref: de Guzman et al. (1997)
Vdestructor,Amellifera,2000,China,"Chifeng, Inner Mongolia",Korea,43.50547,121.64639,Year: 2000 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2002,China,Xinjiang Autonomous Region.,Korea,43.78345,87.61304,Year: 2002 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2005?,France,Avignon,Korea,43.914616,4.87819,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2002,France,INRA Zoology at Avignon,Korea,43.91532,4.878364,Year: 2002 Ref: Navajas et al. (2002)
Vdestructor,Amellifera,2005?,France,Cevennes,Korea,44.26415,3.7122,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,1998?,United States,Oregon,Korea,44.564678,-123.280267,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,2005?,France,Ardeche,Korea,44.635608,4.259207,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,1998?,United States,Minnesota,Korea,44.9537,-93.08995,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,1994-1996,United States,"Minnesota, St Paul",Korea,44.9537,-93.08995,Year: 1994-1996 Ref: de Guzman et al. (1997)
Vdestructor,Amellifera,2005?,France,Charente,Korea,45.636678,0.140221,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2001,China,Heilongjiang Prov.,Korea,46.46743,131.72395,Year: 2001 Ref: Zhou et al. (2004)
Vdestructor,Amellifera,2005?,France,Sarthe,Korea,47.9217,0.16558,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2005?,France,Alsace,Korea,48.31817,7.44162,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2005?,France,Orne,Korea,48.63885,0.08482,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2001,Germany,Hohenheim University Campus,Korea,48.711556,9.21095,Year: 2001 Ref: Garrido et al. (2003)
Vdestructor,Amellifera,1998?,Canada,British Columbia,Korea,49.260199,-123.245964,Year: 1998? Ref: de Guzman et al. (1999)
Vdestructor,Amellifera,1996,Germany,Oberursel,Korea,50.217636,8.548381,"Year: 1996 Ref: de Guzman et al. (1997), Anderson and Fuchs (1998), Anderson and Trueman (2000)"
Vdestructor,Amellifera,2005?,Poland,Varsovie,Korea,52.240175,21.01785,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2005?,England,Sheffield,Korea,53.380768,-1.487421,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,1997,United Kingdom,York,Korea,53.944947,-1.056106,Year: 1997 Ref: Anderson and Trueman (2000)
Vdestructor,Amellifera,2005?,Scotland,Lockerbie,Korea,55.128675,-3.358945,Year: 2005? Ref: Solignac et al. (2005)
Vdestructor,Amellifera,2016?,Cameroon,Azom,Korea,3.67631,11.45515,Year: 2016? Ref: Cham et al. (2017)
Vdestructor,Amellifera,2016?,Cameroon,Bamenda-Nkwe,Korea,5.93303,10.2083,Year: 2016? Ref: Cham et al. (2017)
