Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. mellifera,2017?,Benin,Bembereke,VD_Korea_K1,VD_K_type,10.217527,2.662204,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Beroubouay,VD_Korea_K1,VD_K_type,10.533221,2.733461,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Biro,VD_Korea_K1,VD_K_type,9.900797,2.945135,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Boukoumbe,VD_Korea_K1,VD_K_type,10.180224,1.098955,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Dassa,VD_Korea_K1,VD_K_type,7.779256,2.191874,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Dijadja,VD_Korea_K1,VD_K_type,7.34611,1.936351,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Djougou,VD_Korea_K1,VD_K_type,9.705218,1.657904,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Kopargo,VD_Korea_K1,VD_K_type,9.835399,1.548101,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Manigri,VD_Korea_K1,VD_K_type,8.973864,1.72057,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,N'dali,VD_Korea_K1,VD_K_type,9.853805,2.716938,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Nagayile,VD_Korea_K1,VD_K_type,9.264,1.55182,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Nikki,VD_Korea_K1,VD_K_type,9.932666,3.212662,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Ouesse,VD_Korea_K1,VD_K_type,8.487778,2.432132,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Parakou,VD_Korea_K1,VD_K_type,9.339171,2.612582,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Savalou,VD_Korea_K1,VD_K_type,7.928325,1.971694,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Save,VD_Korea_K1,VD_K_type,8.029585,2.482979,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2017?,Benin,Sinende,VD_Korea_K1,VD_K_type,10.344114,2.381844,approximate,Year:2017? Ref:Kelomey et al. (2017),Litterature
V. destructor,A. mellifera,2009?,Brazil,"Blumenau, Santa Catarina",VD_Korea_K1,VD_K_type,-26.91657,-49.07173,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
V. destructor,A. mellifera,2009?,Brazil,"Cacador, Santa Catarina",VD_Korea_K1,VD_K_type,-26.77616,-51.01249,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
V. destructor,A. mellifera,2001,Brazil,"Estrela, Rio Grande do Sul State",VD_Korea_K1,VD_K_type,-29.487,-51.95433,approximate,Year:2001 Ref:Garrido et al. (2003),Litterature
V. destructor,A. mellifera,2013-2015,Brazil,Fernando de Noronha,VD_Japan_J1,VD_Japan_J1,-3.847409,-32.414635,approximate,Year:2013-2015 Ref:Octaviano-Salvade et al. (2017),Litterature
V. destructor,A. mellifera,2009?,Brazil,Fernando de Noronha Island,VD_Japan_J1,VD_Japan_J1,-3.847409,-32.414635,approximate,Year:2009? Ref:Guerra et al. (2010),Litterature
V. destructor,A. mellifera,2009?;2013;2015,Brazil,Fernando de Noronha Island,COMBINED,KoreaJapan,-3.847409,-32.414635,approximate,Year:2009?;2013;2015 Ref:Guerra et al. (2010),
V. destructor,A. mellifera,2009?,Brazil,"Fernando de Noronha,  State of Pernambuco",VD_Japan_J1,VD_Japan_J1,-3.847409,-32.414635,approximate,Year:2009? Ref:Strapazzon et al. (2009),Litterature
